year,skater,past_soty,fullparts,thrasher_cover,thrasher_part,other_cover,ads,insta_followers,minutes_of_footy,board_sponsor,shoe_sponsor,hometown,lives_in,age,gender
2020,Leo Baker,0,,,,,,,,,,,,,N
2020,Simon Bannerot,0,,,,,,,,,,,,,
2020,Raney Beres,0,,,,,,,,,,,,,
2020,Elijah Berle,0,,,,,,,,,,,,,
2020,Dane Burman,0,,,,,,,,,,,,,
2020,Chris Colbourn,0,,,,,,,,,,,,,
2020,Gilbert Crockett,0,,,,,,,,,,,,,
2020,Pedro Delfino,0,,,,,,,,,,,,,
2020,Clive Dixon,0,,,,,,,,,,,,,
2020,Lil Dre,0,,,,,,,,,,,,,
2020,Yuri Facchini,0,,,,,,,,,,,,,
2020,Jamie Foy,0,,,,,,,,,,,,,
2020,Deedz Galasso,0,,,,,,,,,,,,,
2020,Breana Geering,0,,,,,,,,,,,,,
2020,Austyn Gillette,0,,,,,,,,,,,,,
2020,Taylor Kirby,0,,,,,,,,,,,,,
2020,Tom Knox,0,,,,,,,,,,,,,
2020,Hyun Kummer,0,,,,,,,,,,,,,
2020,Tiago Lemos,0,,,,,,,,,,,,,
2020,Louie Lopez,0,,,,,,,,,,,,,
2020,Milton Martinez,0,,,,,,,,,,,,,
2020,Alex Midler,0,,,,,,,,,,,,,
2020,Robert Neal,0,,,,,,,,,,,,,
2020,Jaako Ojanen,0,,,,,,,,,,,,,
2020,Alexis Ramirez,0,,,,,,,,,,,,,
2020,Alexis Sablone,0,,,,,,,,,,,,,
2020,John Shanahan,0,,,,,,,,,,,,,
2020,Mason Silva,1,,,,,,,,,,,,,
2020,Miles Silva,0,,,,,,,,,,,,,
2020,Evan Smith,0,,,,,,,,,,,,,
2020,Kader Sylla,0,,,,,,,,,,,,,
2020,Brandon Turner,0,,,,,,,,,,,,,
2020,Jarne Verbruggen,0,,,,,,,,,,,,,
2020,Giovanni Vianna,0,,,,,,,,,,,,,
2020,Franky Villani,0,,,,,,,,,,,,,
2020,Ishod Wair,0,,,,,,,,,,,,,
2019,Youness Armani,0,,,,,,,,,,,,,
2019,Sammy Baca,0,,,,,,,,,,,,,
2019,Kevin Baekkel,0,,,,,,,,,,,,,
2019,Pedro Barros,0,,,,,,,,,,,,,
2019,Kevin Bradley,0,,,,,,,,,,,,,
2019,Dan Burman,0,,,,,,,,,,,,,
2019,Blake Carpenter,0,,,,,,,,,,,,,
2019,Pedro Delfino,0,,,,,,,,,,,,,
2019,Clive Dixon,0,,,,,,,,,,,,,
2019,Figgy Figueroa,0,,,,,,,,,,,,,
2019,Jamie Foy,0,,,,,,,,,,,,,
2019,Deedz Galasso,0,,,,,,,,,,,,,
2019,Yuto Horigome,0,,,,,,,,,,,,,
2019,Nyjah Huston,0,,,,,,,,,,,,,
2019,Ryan Lay,0,,,,,,,,,,,,,
2019,Tiago Lemos,0,,,,,,,,,,,,,
2019,Milton Martinez,1,,,,,,,,,,,,,
2019,Alex Midler,0,,,,,,,,,,,,,
2019,Felipe Nunes,0,,,,,,,,,,,,,
2019,Collin Provost,0,,,,,,,,,,,,,
2019,Alexis Ramirez,0,,,,,,,,,,,,,
2019,Carlos Ribeiro,0,,,,,,,,,,,,,
2019,Oski Rozenberg,0,,,,,,,,,,,,,
2019,Walker Ryan,0,,,,,,,,,,,,,
2019,Ronnie Sandoval,0,,,,,,,,,,,,,
2019,Miles Silva,0,,,,,,,,,,,,,
2019,Mark Suciu,0,,,,,,,,,,,,,
2019,Gabreil Summers,0,,,,,,,,,,,,,
2019,Tyler Surrey,0,,,,,,,,,,,,,
2019,Kader Sylla,0,,,,,,,,,,,,,
2019,Nora Vasconcellos,0,,,,,,,,,,,,,
2019,Franky Villani,0,,,,,,,,,,,,,
2019,Ishod Wair,0,,,,,,,,,,,,,
2019,Brandon Westgate,0,,,,,,,,,,,,,
2019,Erick Winkowski,0,,,,,,,,,,,,,
2019,Rowan Zorilla,0,,,,,,,,,,,,,
2018,Madars Apse,0,,,,,,,,,,,,,
2018,Raney Beres,0,,,,,,,,,,,,,
2018,Kevin Braun,0,,,,,,,,,,,,,
2018,Aidan Campbell,0,,,,,,,,,,,,,
2018,Gilbert Crockett,0,,,,,,,,,,,,,
2018,Bobby De Keyzer,0,,,,,,,,,,,,,
2018,Pedro Delfino,0,,,,,,,,,,,,,
2018,Jon Dickson,0,,,,,,,,,,,,,
2018,Corey Duffel,0,,,,,,,,,,,,,
2018,Chima Ferguson,0,,,,,,,,,,,,,
2018,Jamie Foy,0,,,,,,,,,,,,,
2018,Tristan Funkhouser,0,,,,,,,,,,,,,
2018,Griffin Gass,0,,,,,,,,,,,,,
2018,Austyn Gillette,0,,,,,,,,,,,,,
2018,Corey Glick,0,,,,,,,,,,,,,
2018,Nassim Guammaz,0,,,,,,,,,,,,,
2018,Spencer Hamilton,0,,,,,,,,,,,,,
2018,Justin Henry,0,,,,,,,,,,,,,
2018,Yuto Horigome,0,,,,,,,,,,,,,
2018,Nyjah Huston,0,,,,,,,,,,,,,
2018,Jake Johnson,0,,,,,,,,,,,,,
2018,Tyshawn Jones,1,,,,,,,,,,,,,
2018,Chris Joslin,0,,,,,,,,,,,,,
2018,Ben Kadow,0,,,,,,,,,,,,,
2018,Karsten Kleppan,0,,,,,,,,,,,,,
2018,Clay Kreiner,0,,,,,,,,,,,,,
2018,Tiago Lemos,0,,,,,,,,,,,,,
2018,Louie Lopez,0,,,,,,,,,,,,,
2018,Milton Martinez,0,,,,,,,,,,,,,
2018,Shane O'neill,0,,,,,,,,,,,,,
2018,Tyson Peterson,0,,,,,,,,,,,,,
2018,Torey Pudwill,0,,,,,,,,,,,,,
2018,Dick Rizzo,0,,,,,,,,,,,,,
2018,Oski Rozenberg,0,,,,,,,,,,,,,
2018,John Shanahan,0,,,,,,,,,,,,,
2018,Mason Silva,0,,,,,,,,,,,,,
2018,Evan Smith,0,,,,,,,,,,,,,
2018,Ryan Townley,0,,,,,,,,,,,,,
2018,Nora Vasconcellos,0,,,,,,,,,,,,,
2018,Jesse Viera,0,,,,,,,,,,,,,
2018,Ishod Wair,0,,,,,,,,,,,,,
2018,Brandon Westgate,0,,,,,,,,,,,,,
2018,Jimmy Wilkins,0,,,,,,,,,,,,,
2018,Josh Wilson,0,,,,,,,,,,,,,
2018,Erick Winkowski,0,,,,,,,,,,,,,
2018,Zion Wright,0,,,,,,,,,,,,,
2018,Rowan Zorilla,0,,,,,,,,,,,,,
2017,Youness Armani,0,,,,,,,,,,,,,
2017,Kevin Baekkel,0,,,,,,,,,,,,,
2017,Lucien Clarke,0,,,,,,,,,,,,,
2017,Gilbert Crockett,0,,,,,,,,,,,,,
2017,Clive Dixon,0,,,,,,,,,,,,,
2017,Jamie Foy,1,,,,,,,,,,,,,
2017,Tristan Funkhouser,0,,,,,,,,,,,,,
2017,Riley Hawk,0,,,,,,,,,,,,,
2017,Jaws Homoki,0,,,,,,,,,,,,,
2017,Boo Johnson,0,,,,,,,,,,,,,
2017,Chris Joslin,0,,,,,,,,,,,,,
2017,Taylor Kirby,0,,,,,,,,,,,,,
2017,Ducky Kovacs,0,,,,,,,,,,,,,
2017,Tiago Lemos,0,,,,,,,,,,,,,
2017,Louie Lopez,0,,,,,,,,,,,,,
2017,Luan Oliveira,0,,,,,,,,,,,,,
2017,Shane O'neill,0,,,,,,,,,,,,,
2017,Jackson Pilz,0,,,,,,,,,,,,,
2017,Donovon Piscopo,0,,,,,,,,,,,,,
2017,Oski Rozenberg,0,,,,,,,,,,,,,
2017,Mason Silva,0,,,,,,,,,,,,,
2017,Miles Silva,0,,,,,,,,,,,,,
2017,Evan Smith,0,,,,,,,,,,,,,
2017,Grant Taylor,0,,,,,,,,,,,,,
2017,Daan Van Der Linden,0,,,,,,,,,,,,,
2017,Ishod Wair,0,,,,,,,,,,,,,
2017,Clint Walker,0,,,,,,,,,,,,,
2017,Chase Webb,0,,,,,,,,,,,,,
2017,Cole Wilson,0,,,,,,,,,,,,,
2017,Zion Wright,0,,,,,,,,,,,,,
2016,Andrew Allen,0,,,,,,,,,,,,,
2016,Brian Anderson,0,,,,,,,,,,,,,
2016,Pedro Barros,0,,,,,,,,,,,,,
2016,Silas Baxter-Neal,0,,,,,,,,,,,,,
2016,Elijah Berle,0,,,,,,,,,,,,,
2016,Dane Burman,0,,,,,,,,,,,,,
2016,Dennis Busenitz,0,,,,,,,,,,,,,
2016,Axel Cruysberghs,0,,,,,,,,,,,,,
2016,Ryan Decenzo,0,,,,,,,,,,,,,
2016,Bobby De Keyzer,0,,,,,,,,,,,,,
2016,Jon Dickson,0,,,,,,,,,,,,,
2016,Figgy Figueroa,0,,,,,,,,,,,,,
2016,Jamie Foy,0,,,,,,,,,,,,,
2016,Austyn Gillette,0,,,,,,,,,,,,,
2016,Paul Hart,0,,,,,,,,,,,,,
2016,Jaws Homoki,0,,,,,,,,,,,,,
2016,Jerry Hsu,0,,,,,,,,,,,,,
2016,Jake Johnson,0,,,,,,,,,,,,,
2016,Tyshawn Jones,0,,,,,,,,,,,,,
2016,Chris Joslin,0,,,,,,,,,,,,,
2016,Tiago Lemos,0,,,,,,,,,,,,,
2016,Louie Lopez,0,,,,,,,,,,,,,
2016,Alec Majerus,0,,,,,,,,,,,,,
2016,Milton Martinez,0,,,,,,,,,,,,,
2016,Collin Provost,0,,,,,,,,,,,,,
2016,Lcas Puig,0,,,,,,,,,,,,,
2016,Andrew Reynolds,0,,,,,,,,,,,,,
2016,Chris Russell,0,,,,,,,,,,,,,
2016,Miles Silva,0,,,,,,,,,,,,,
2016,Evan Smith,0,,,,,,,,,,,,,
2016,Na-Kel Smith,0,,,,,,,,,,,,,
2016,Grant Taylor,0,,,,,,,,,,,,,
2016,Daan Van Der Linden,0,,,,,,,,,,,,,
2016,Ishod Wair,0,,,,,,,,,,,,,
2016,Kyle Walker,1,,,,,,,,,,,,,
2016,Erick Winkowski,0,,,,,,,,,,,,,
2016,Bobby Worrest,0,,,,,,,,,,,,,
2015,Pedro Barros,0,,,,,,,,,,,,,
2015,Elijah Berle,0,,,,,,,,,,,,,
2015,Brandon Beibel,0,,,,,,,,,,,,,
2015,Kevin Bradley,0,,,,,,,,,,,,,
2015,Gilbert Crockett,0,,,,,,,,,,,,,
2015,Chima Ferguson,0,,,,,,,,,,,,,
2015,Greyson Fletcher,0,,,,,,,,,,,,,
2015,Jaws Homoki,0,,,,,,,,,,,,,
2015,Nyjah Huston,0,,,,,,,,,,,,,
2015,Cyril Jackson,0,,,,,,,,,,,,,
2015,Jake Johnson,0,,,,,,,,,,,,,
2015,Chris Joslin,0,,,,,,,,,,,,,
2015,Cory Kennedy,0,,,,,,,,,,,,,
2015,Daniel Lutheran,0,,,,,,,,,,,,,
2015,Guy Mariano,0,,,,,,,,,,,,,
2015,Luan Oliveira,0,,,,,,,,,,,,,
2015,Shane O'neill,0,,,,,,,,,,,,,
2015,Ben Raybourn,0,,,,,,,,,,,,,
2015,Carlos Ribeiro,0,,,,,,,,,,,,,
2015,Ronnie Sandoval,0,,,,,,,,,,,,,
2015,Miles Silva,0,,,,,,,,,,,,,
2015,Anthony Van Engelen,1,,,,,,,,,,,,,
2015,Ishod Wair,0,,,,,,,,,,,,,
2015,Kyle Walker,0,,,,,,,,,,,,,
2015,Rowan Zorilla,0,,,,,,,,,,,,,
2014,Youness Armani,0,,,,,,,,,,,,,
2014,Louie Barletta,0,,,,,,,,,,,,,
2014,Blake Carpenter,0,,,,,,,,,,,,,
2014,Trevor Colden,0,,,,,,,,,,,,,
2014,Ryan Decenzo,0,,,,,,,,,,,,,
2014,Jack Fardell,0,,,,,,,,,,,,,
